,Kp,Kd,Ki
DOF,0.3365191727051172,0.36259740321732464,0.019431053663460658
Total Mass,-0.4513581421020352,-0.4746387926208907,-0.029155430114443638
Avg Link Mass,-0.5451491836265151,-0.5821984029820928,-0.03718738419264092
Total Inertia,-0.525766690323948,-0.5621335396219069,-0.034630389010389506
Max Reach,0.5839590141711383,0.611454149650748,0.05323040166486635
Payload Mass,,,
